You are an RF spectrum analyst. For each numbered case, identify the most likely modulation of a low-SNR signal by reasoning about which real-world radio system operates at the given carrier frequency, and which candidate is most consistent with the (unreliable) classifier hint. OUTPUT EXACTLY one line per case as '<k>: <MOD>', where <MOD> is copied verbatim from that case's candidate list. Output ONLY those lines, no commentary.

Case 84 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: FM(0.14), 8PSK(0.13), 16APSK(0.128) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 85 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: QPSK(0.134), 8PSK(0.133), 16APSK(0.131) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 86 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: 8PSK(0.825), 16APSK(0.123), QPSK(0.05) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 87 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: GMSK(0.422), 16APSK(0.13), 8PSK(0.123) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 88 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: GMSK(0.216), 8PSK(0.204), 16APSK(0.188) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 89 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: 32APSK(0.154), GMSK(0.154), 8PSK(0.148) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 90 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: 32APSK(0.133), GMSK(0.132), 8PSK(0.13) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 91 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: FM(0.154), AM-DSB-WC(0.135), 8PSK(0.124) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 92 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: 8PSK(0.171), GMSK(0.171), QPSK(0.167) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 93 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: GMSK(0.152), 8PSK(0.147), QPSK(0.146) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 94 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: GMSK(0.743), 8PSK(0.094), 16APSK(0.071) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 95 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: FM(0.143), AM-DSB-WC(0.129), 8PSK(0.128) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 96 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: 8PSK(0.141), GMSK(0.139), 16APSK(0.138) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 97 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: 8PSK(0.141), QPSK(0.139), 16APSK(0.137) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 98 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: FM(0.142), 8PSK(0.135), 16APSK(0.133) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 99 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: FM(0.174), GMSK(0.147), 16APSK(0.125) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 100 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: FM(0.168), GMSK(0.14), 16APSK(0.138) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 101 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: 32APSK(0.246), GMSK(0.165), 16APSK(0.159) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 102 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: 8PSK(0.134), 16APSK(0.132), QPSK(0.13) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 103 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: 8PSK(0.145), 16APSK(0.139), QPSK(0.137) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 104 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: 8PSK(0.133), QPSK(0.133), 16APSK(0.132) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 105 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: GMSK(0.159), 8PSK(0.157), 16APSK(0.156) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 106 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: FM(0.217), AM-DSB-WC(0.171), GMSK(0.126) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 107 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: 32APSK(0.214), GMSK(0.193), 8PSK(0.191) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 108 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: 32APSK(0.817), 16APSK(0.171), 8PSK(0.011) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 109 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: 32APSK(0.957), 16APSK(0.043), 8PSK(0.0) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 110 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: GMSK(0.156), 8PSK(0.156), QPSK(0.154) | candidates: QPSK, 8PSK, 16APSK, 32APSK
Case 111 | carrier 11700 MHz | band: Ku-band DVB-S2 satellite TV downlink | classifier top-3: 8PSK(0.132), QPSK(0.131), 32APSK(0.13) | candidates: QPSK, 8PSK, 16APSK, 32APSK

Now output the 28 lines.
